start,stop,speaker
12.8,25.7,SPEAKER_10
26.7,28.3,SPEAKER_10
29.7,42.6,SPEAKER_10
42.6,42.6,SPEAKER_08
44.1,46.4,SPEAKER_08
46.7,54.6,SPEAKER_08
55.4,57.3,SPEAKER_08
76.6,78.5,SPEAKER_00
78.8,79.3,SPEAKER_00
79.4,80.3,SPEAKER_00
85.6,88.7,SPEAKER_00
89.3,89.9,SPEAKER_05
90.7,91.2,SPEAKER_05
93.6,93.8,SPEAKER_00
93.8,94.1,SPEAKER_07
94.6,95.6,SPEAKER_07
99.3,100.1,SPEAKER_03
101.5,105.0,SPEAKER_03
105.2,119.5,SPEAKER_03
119.6,120.9,SPEAKER_03
121.2,123.6,SPEAKER_03
123.9,124.5,SPEAKER_03
131.6,137.0,SPEAKER_03
137.4,138.6,SPEAKER_03
138.6,139.0,SPEAKER_07
139.2,140.7,SPEAKER_07
141.4,141.8,SPEAKER_07
142.0,142.0,SPEAKER_07
142.3,142.7,SPEAKER_07
143.1,143.9,SPEAKER_07
144.1,144.8,SPEAKER_07
149.0,149.0,SPEAKER_03
149.7,150.1,SPEAKER_07
150.4,150.4,SPEAKER_07
150.4,150.5,SPEAKER_03
150.5,150.5,SPEAKER_07
150.5,152.7,SPEAKER_03
155.4,157.0,SPEAKER_03
157.5,158.3,SPEAKER_03
160.4,161.5,SPEAKER_03
169.1,169.9,SPEAKER_03
173.9,174.5,SPEAKER_03
175.1,177.7,SPEAKER_03
178.1,179.3,SPEAKER_03
178.6,179.0,SPEAKER_07
179.5,191.7,SPEAKER_03
192.0,194.5,SPEAKER_03
195.7,201.6,SPEAKER_03
202.2,208.1,SPEAKER_03
208.1,208.1,SPEAKER_03
208.1,212.0,SPEAKER_04
212.5,213.0,SPEAKER_04
213.5,216.5,SPEAKER_04
216.7,219.0,SPEAKER_04
219.2,224.1,SPEAKER_04
224.5,226.7,SPEAKER_04
227.1,227.1,SPEAKER_04
227.1,227.6,SPEAKER_03
227.6,227.7,SPEAKER_04
227.8,227.8,SPEAKER_04
227.8,230.3,SPEAKER_03
231.4,233.0,SPEAKER_03
233.0,233.0,SPEAKER_03
233.1,233.8,SPEAKER_03
241.0,241.1,SPEAKER_03
241.1,244.9,SPEAKER_03
245.4,247.2,SPEAKER_03
247.5,255.8,SPEAKER_03
255.8,255.9,SPEAKER_06
266.9,290.5,SPEAKER_03
290.9,293.9,SPEAKER_03
294.5,294.8,SPEAKER_03
295.4,297.9,SPEAKER_03
298.3,305.2,SPEAKER_03
306.7,308.6,SPEAKER_06
310.9,311.7,SPEAKER_06
312.8,314.5,SPEAKER_06
330.6,331.9,SPEAKER_03
332.0,332.0,SPEAKER_03
332.1,336.0,SPEAKER_03
335.9,337.9,SPEAKER_06
338.2,340.0,SPEAKER_03
344.4,344.9,SPEAKER_03
347.0,349.8,SPEAKER_03
349.8,359.0,SPEAKER_03
359.5,376.9,SPEAKER_03
377.6,382.7,SPEAKER_03
383.2,384.7,SPEAKER_03
385.1,386.7,SPEAKER_03
386.9,391.3,SPEAKER_03
392.7,410.6,SPEAKER_03
411.2,413.5,SPEAKER_03
419.2,423.7,SPEAKER_03
429.7,431.9,SPEAKER_00
431.9,435.5,SPEAKER_00
435.6,435.6,SPEAKER_03
435.6,435.7,SPEAKER_07
435.7,436.0,SPEAKER_03
436.0,436.1,SPEAKER_07
437.3,439.9,SPEAKER_07
438.0,448.0,SPEAKER_03
448.6,448.6,SPEAKER_03
448.6,452.1,SPEAKER_05
453.6,455.2,SPEAKER_04
455.3,456.6,SPEAKER_04
456.8,472.3,SPEAKER_04
472.5,473.9,SPEAKER_05
474.1,475.7,SPEAKER_04
475.7,475.7,SPEAKER_05
476.9,478.7,SPEAKER_05
479.4,480.8,SPEAKER_05
485.9,488.2,SPEAKER_04
490.4,493.1,SPEAKER_04
494.7,495.1,SPEAKER_04
495.1,495.2,SPEAKER_07
497.9,497.9,SPEAKER_04
497.9,500.2,SPEAKER_05
500.8,502.5,SPEAKER_05
502.6,506.8,SPEAKER_05
506.8,511.0,SPEAKER_05
511.9,517.8,SPEAKER_05
518.2,519.2,SPEAKER_05
519.7,522.0,SPEAKER_05
520.7,520.9,SPEAKER_04
522.0,522.2,SPEAKER_07
527.0,531.9,SPEAKER_04
529.2,530.0,SPEAKER_07
535.5,536.3,SPEAKER_04
538.2,538.5,SPEAKER_04
543.5,553.0,SPEAKER_04
559.8,562.5,SPEAKER_05
569.3,575.3,SPEAKER_03
576.2,588.1,SPEAKER_03
589.2,590.4,SPEAKER_03
590.9,593.9,SPEAKER_03
594.5,598.2,SPEAKER_03
598.8,605.6,SPEAKER_03
611.0,612.0,SPEAKER_03
612.3,618.6,SPEAKER_03
620.7,625.2,SPEAKER_03
625.5,628.9,SPEAKER_03
633.3,634.0,SPEAKER_03
638.4,641.8,SPEAKER_03
641.9,642.8,SPEAKER_03
643.4,644.7,SPEAKER_03
645.4,646.5,SPEAKER_03
647.5,648.1,SPEAKER_03
648.3,650.6,SPEAKER_03
649.8,650.5,SPEAKER_07
650.6,651.7,SPEAKER_07
650.8,652.1,SPEAKER_03
652.3,659.8,SPEAKER_03
657.0,657.6,SPEAKER_07
