start,stop,speaker
13.0,25.7,SPEAKER_13
26.9,28.4,SPEAKER_13
29.8,42.7,SPEAKER_13
42.7,42.8,SPEAKER_11
44.2,54.4,SPEAKER_11
55.8,57.3,SPEAKER_11
59.3,62.1,SPEAKER_00
62.5,68.4,SPEAKER_00
70.9,73.6,SPEAKER_00
73.8,80.0,SPEAKER_00
83.2,83.6,SPEAKER_00
83.6,83.6,SPEAKER_00
83.7,83.7,SPEAKER_00
83.8,84.1,SPEAKER_00
84.1,85.1,SPEAKER_00
85.4,85.6,SPEAKER_00
85.7,85.7,SPEAKER_00
85.7,91.7,SPEAKER_00
106.3,109.0,SPEAKER_01
109.6,112.2,SPEAKER_01
118.2,118.4,SPEAKER_05
119.4,120.4,SPEAKER_01
121.0,123.0,SPEAKER_01
133.9,134.1,SPEAKER_05
134.1,134.1,SPEAKER_04
134.3,134.7,SPEAKER_05
134.7,134.7,SPEAKER_04
139.9,141.6,SPEAKER_02
144.0,146.8,SPEAKER_02
147.0,149.1,SPEAKER_03
149.3,153.7,SPEAKER_02
154.4,157.6,SPEAKER_06
157.9,161.4,SPEAKER_02
161.5,163.8,SPEAKER_06
164.0,166.0,SPEAKER_02
166.2,167.5,SPEAKER_06
166.3,166.7,SPEAKER_02
167.4,167.7,SPEAKER_02
167.7,167.7,SPEAKER_06
168.7,174.4,SPEAKER_02
175.1,179.1,SPEAKER_02
179.2,181.1,SPEAKER_06
181.7,186.6,SPEAKER_02
187.2,192.1,SPEAKER_02
192.6,201.8,SPEAKER_06
202.0,205.3,SPEAKER_02
206.8,210.0,SPEAKER_06
210.3,213.1,SPEAKER_02
213.7,218.5,SPEAKER_06
219.1,220.9,SPEAKER_05
231.0,231.7,SPEAKER_13
245.0,245.2,SPEAKER_05
245.5,246.0,SPEAKER_05
247.2,247.9,SPEAKER_05
252.1,256.4,SPEAKER_05
256.7,258.2,SPEAKER_05
264.0,267.5,SPEAKER_02
267.8,269.0,SPEAKER_06
269.0,270.0,SPEAKER_10
271.7,274.1,SPEAKER_10
274.9,281.3,SPEAKER_02
281.4,283.8,SPEAKER_10
283.9,284.8,SPEAKER_02
285.0,295.1,SPEAKER_10
295.1,295.2,SPEAKER_09
296.1,299.5,SPEAKER_09
300.0,300.9,SPEAKER_09
301.6,308.1,SPEAKER_09
308.8,311.5,SPEAKER_02
311.8,318.0,SPEAKER_10
318.0,328.0,SPEAKER_06
325.1,325.6,SPEAKER_10
328.0,330.4,SPEAKER_10
330.9,331.0,SPEAKER_10
331.0,331.1,SPEAKER_09
331.1,337.1,SPEAKER_10
337.7,337.7,SPEAKER_09
337.7,345.9,SPEAKER_10
346.5,349.0,SPEAKER_02
348.8,350.7,SPEAKER_10
350.8,351.6,SPEAKER_02
352.1,352.1,SPEAKER_10
352.1,353.7,SPEAKER_06
353.7,355.3,SPEAKER_02
354.6,359.9,SPEAKER_06
360.5,363.6,SPEAKER_02
366.4,367.5,SPEAKER_10
367.8,369.2,SPEAKER_10
370.6,372.7,SPEAKER_10
374.5,378.0,SPEAKER_02
378.0,383.0,SPEAKER_03
383.0,383.9,SPEAKER_02
383.9,383.9,SPEAKER_03
383.9,384.0,SPEAKER_02
384.0,384.1,SPEAKER_03
384.3,386.0,SPEAKER_03
386.0,389.7,SPEAKER_02
390.7,393.3,SPEAKER_02
392.3,392.5,SPEAKER_05
393.8,395.7,SPEAKER_02
394.6,394.8,SPEAKER_05
395.9,399.4,SPEAKER_02
416.9,418.7,SPEAKER_02
425.0,425.1,SPEAKER_05
428.9,429.4,SPEAKER_05
439.3,440.2,SPEAKER_08
462.3,462.3,SPEAKER_02
462.3,462.4,SPEAKER_06
462.4,463.6,SPEAKER_02
463.6,463.6,SPEAKER_06
464.2,468.2,SPEAKER_06
471.2,471.6,SPEAKER_05
471.6,471.7,SPEAKER_06
471.7,471.9,SPEAKER_05
471.9,472.0,SPEAKER_06
472.0,472.0,SPEAKER_05
472.0,472.2,SPEAKER_06
472.2,472.4,SPEAKER_05
472.4,473.2,SPEAKER_02
473.2,473.3,SPEAKER_06
474.7,476.5,SPEAKER_02
477.0,479.3,SPEAKER_02
480.0,481.4,SPEAKER_02
486.4,487.2,SPEAKER_05
487.2,487.3,SPEAKER_10
487.3,487.3,SPEAKER_05
489.0,489.0,SPEAKER_05
489.1,489.6,SPEAKER_05
489.6,489.7,SPEAKER_10
489.7,489.7,SPEAKER_05
489.7,496.2,SPEAKER_10
516.6,520.6,SPEAKER_15
521.2,521.5,SPEAKER_15
521.8,523.3,SPEAKER_15
523.6,525.5,SPEAKER_08
525.5,528.7,SPEAKER_15
528.7,533.1,SPEAKER_08
533.7,536.3,SPEAKER_15
536.8,538.6,SPEAKER_08
540.6,547.4,SPEAKER_15
548.7,551.1,SPEAKER_02
552.1,554.1,SPEAKER_02
554.7,556.9,SPEAKER_06
557.4,558.0,SPEAKER_02
558.0,559.0,SPEAKER_09
559.5,562.0,SPEAKER_06
562.4,566.1,SPEAKER_09
569.9,570.3,SPEAKER_09
570.8,570.9,SPEAKER_09
570.9,572.0,SPEAKER_05
572.4,573.0,SPEAKER_05
577.6,579.2,SPEAKER_06
579.4,580.5,SPEAKER_02
584.8,585.0,SPEAKER_05
585.4,586.0,SPEAKER_05
586.7,587.1,SPEAKER_05
589.2,589.7,SPEAKER_05
591.8,591.9,SPEAKER_05
604.0,604.0,SPEAKER_03
604.0,604.7,SPEAKER_15
606.0,607.6,SPEAKER_08
608.0,611.8,SPEAKER_15
612.2,612.2,SPEAKER_15
612.2,612.3,SPEAKER_08
612.3,612.8,SPEAKER_15
613.5,616.7,SPEAKER_15
617.8,619.4,SPEAKER_15
619.7,619.9,SPEAKER_15
637.3,639.4,SPEAKER_07
639.6,641.9,SPEAKER_07
642.7,643.4,SPEAKER_10
643.9,646.2,SPEAKER_10
646.8,652.7,SPEAKER_07
653.0,654.3,SPEAKER_10
654.5,656.6,SPEAKER_10
657.2,657.2,SPEAKER_07
657.2,658.5,SPEAKER_02
659.4,659.4,SPEAKER_02
659.4,659.6,SPEAKER_10
659.6,659.8,SPEAKER_02
