start,stop,speaker
12.8,25.6,SPEAKER_10
21.3,21.4,SPEAKER_09
21.4,21.8,SPEAKER_09
26.7,28.3,SPEAKER_10
29.7,42.6,SPEAKER_10
44.1,46.2,SPEAKER_10
46.2,46.3,SPEAKER_09
46.7,46.8,SPEAKER_09
46.8,47.0,SPEAKER_10
47.0,54.4,SPEAKER_09
55.6,58.0,SPEAKER_09
66.7,69.1,SPEAKER_11
69.3,73.4,SPEAKER_11
83.8,84.7,SPEAKER_01
85.0,87.6,SPEAKER_01
92.5,93.8,SPEAKER_01
94.5,95.7,SPEAKER_07
95.8,96.3,SPEAKER_01
96.7,98.1,SPEAKER_01
98.8,102.0,SPEAKER_07
102.5,103.0,SPEAKER_01
103.6,104.3,SPEAKER_01
106.8,119.4,SPEAKER_01
119.9,122.1,SPEAKER_01
122.9,125.5,SPEAKER_01
125.6,126.8,SPEAKER_01
128.6,129.1,SPEAKER_01
129.1,132.9,SPEAKER_15
139.4,139.5,SPEAKER_15
139.5,139.6,SPEAKER_16
139.6,139.7,SPEAKER_15
140.7,141.0,SPEAKER_15
141.0,141.0,SPEAKER_16
141.0,142.0,SPEAKER_15
141.7,141.8,SPEAKER_16
142.0,143.0,SPEAKER_16
143.0,143.8,SPEAKER_07
143.8,143.8,SPEAKER_16
144.2,144.2,SPEAKER_16
144.2,144.8,SPEAKER_07
144.8,144.8,SPEAKER_16
147.6,150.6,SPEAKER_07
157.6,159.8,SPEAKER_06
159.8,161.4,SPEAKER_06
165.6,167.0,SPEAKER_07
167.3,171.4,SPEAKER_07
171.4,171.4,SPEAKER_15
171.4,171.5,SPEAKER_07
171.5,171.5,SPEAKER_15
171.9,172.9,SPEAKER_15
172.9,172.9,SPEAKER_16
172.9,172.9,SPEAKER_07
173.0,174.4,SPEAKER_07
177.7,178.0,SPEAKER_07
181.4,190.8,SPEAKER_07
192.8,194.3,SPEAKER_07
194.6,196.2,SPEAKER_06
201.8,213.3,SPEAKER_07
214.1,217.1,SPEAKER_07
218.0,219.8,SPEAKER_07
224.3,227.4,SPEAKER_07
227.8,236.0,SPEAKER_07
236.6,239.0,SPEAKER_07
239.0,240.3,SPEAKER_06
241.5,246.0,SPEAKER_06
246.0,249.9,SPEAKER_07
250.6,259.0,SPEAKER_07
259.0,261.6,SPEAKER_04
273.4,275.3,SPEAKER_11
275.4,276.6,SPEAKER_11
280.7,282.7,SPEAKER_06
282.7,282.7,SPEAKER_07
283.3,284.0,SPEAKER_11
284.3,286.6,SPEAKER_07
287.4,287.9,SPEAKER_11
287.9,291.1,SPEAKER_07
291.9,295.3,SPEAKER_11
295.3,297.9,SPEAKER_07
297.9,300.2,SPEAKER_11
301.1,301.7,SPEAKER_07
302.8,306.3,SPEAKER_07
306.3,306.3,SPEAKER_11
306.4,308.6,SPEAKER_11
308.6,310.2,SPEAKER_07
310.2,314.7,SPEAKER_11
315.5,317.4,SPEAKER_07
317.8,320.8,SPEAKER_07
322.4,324.7,SPEAKER_07
325.0,327.0,SPEAKER_11
328.5,328.5,SPEAKER_07
328.5,329.7,SPEAKER_06
330.5,335.7,SPEAKER_06
335.8,339.1,SPEAKER_07
339.1,345.4,SPEAKER_07
346.1,348.1,SPEAKER_07
349.0,357.2,SPEAKER_07
370.9,371.5,SPEAKER_11
372.2,373.8,SPEAKER_11
373.8,373.8,SPEAKER_11
373.8,374.6,SPEAKER_06
375.7,380.4,SPEAKER_06
381.5,383.4,SPEAKER_06
383.4,383.4,SPEAKER_11
383.4,386.6,SPEAKER_11
389.5,390.9,SPEAKER_07
390.8,391.7,SPEAKER_11
391.7,395.1,SPEAKER_07
396.3,398.9,SPEAKER_07
398.9,400.1,SPEAKER_11
400.1,404.8,SPEAKER_07
405.3,416.8,SPEAKER_11
417.3,419.6,SPEAKER_11
420.4,424.6,SPEAKER_07
424.6,432.5,SPEAKER_11
439.5,442.9,SPEAKER_06
442.9,443.7,SPEAKER_07
445.1,446.3,SPEAKER_07
465.2,465.9,SPEAKER_01
466.2,470.2,SPEAKER_01
471.6,475.5,SPEAKER_01
475.9,477.7,SPEAKER_01
493.8,494.8,SPEAKER_07
503.9,504.2,SPEAKER_11
505.8,508.8,SPEAKER_11
509.1,513.2,SPEAKER_11
514.2,517.7,SPEAKER_11
518.0,520.0,SPEAKER_11
522.8,523.5,SPEAKER_16
531.6,536.6,SPEAKER_11
537.5,539.9,SPEAKER_11
541.0,544.9,SPEAKER_11
545.5,547.5,SPEAKER_11
548.2,549.7,SPEAKER_11
564.1,565.7,SPEAKER_01
566.8,567.9,SPEAKER_01
569.2,578.7,SPEAKER_01
578.8,579.0,SPEAKER_01
579.0,579.2,SPEAKER_14
579.2,580.0,SPEAKER_01
580.0,581.0,SPEAKER_14
581.1,583.3,SPEAKER_01
583.7,585.0,SPEAKER_14
585.7,587.9,SPEAKER_01
588.3,593.0,SPEAKER_14
593.0,596.3,SPEAKER_01
596.8,600.7,SPEAKER_01
601.1,604.6,SPEAKER_14
605.4,608.5,SPEAKER_01
608.6,610.9,SPEAKER_01
611.1,613.4,SPEAKER_14
613.9,619.2,SPEAKER_01
