start,stop,speaker
12.8,21.3,SPEAKER_10
21.3,21.6,SPEAKER_09
21.6,25.6,SPEAKER_10
26.7,28.3,SPEAKER_10
29.6,42.6,SPEAKER_10
44.1,45.0,SPEAKER_10
45.0,46.0,SPEAKER_09
46.9,54.3,SPEAKER_09
55.6,57.1,SPEAKER_09
59.2,59.2,SPEAKER_09
59.2,62.2,SPEAKER_00
62.4,68.3,SPEAKER_00
70.7,73.5,SPEAKER_00
73.6,79.8,SPEAKER_00
83.1,83.3,SPEAKER_00
84.0,84.7,SPEAKER_00
85.3,85.5,SPEAKER_00
85.5,91.5,SPEAKER_00
99.7,101.5,SPEAKER_01
101.7,104.4,SPEAKER_01
109.8,111.1,SPEAKER_01
111.4,113.4,SPEAKER_01
119.6,124.0,SPEAKER_01
124.2,125.5,SPEAKER_01
136.4,136.4,SPEAKER_13
136.4,136.9,SPEAKER_13
137.0,141.0,SPEAKER_13
141.2,141.4,SPEAKER_13
147.8,148.2,SPEAKER_13
149.8,151.0,SPEAKER_13
152.1,152.6,SPEAKER_13
153.7,154.5,SPEAKER_13
170.8,173.3,SPEAKER_08
171.1,171.2,SPEAKER_05
173.9,174.6,SPEAKER_08
174.8,176.3,SPEAKER_05
176.4,180.3,SPEAKER_08
180.3,180.3,SPEAKER_05
180.3,180.5,SPEAKER_08
180.9,181.8,SPEAKER_08
181.8,184.7,SPEAKER_05
185.4,186.5,SPEAKER_08
186.5,188.9,SPEAKER_05
189.5,194.8,SPEAKER_08
196.5,204.3,SPEAKER_04
204.4,206.9,SPEAKER_04
207.9,210.1,SPEAKER_04
210.3,213.9,SPEAKER_05
214.3,217.9,SPEAKER_04
217.9,218.0,SPEAKER_04
218.0,219.3,SPEAKER_05
220.0,220.3,SPEAKER_05
221.0,225.7,SPEAKER_05
221.0,221.4,SPEAKER_04
226.0,228.0,SPEAKER_04
228.2,229.7,SPEAKER_14
230.7,235.2,SPEAKER_14
241.8,243.3,SPEAKER_03
248.7,249.0,SPEAKER_03
249.0,249.2,SPEAKER_14
249.2,249.7,SPEAKER_03
249.7,250.1,SPEAKER_14
250.1,250.3,SPEAKER_03
250.3,251.6,SPEAKER_14
252.2,254.9,SPEAKER_14
254.9,254.9,SPEAKER_03
254.9,256.0,SPEAKER_14
256.0,256.5,SPEAKER_03
256.5,256.5,SPEAKER_14
258.5,260.2,SPEAKER_14
260.7,262.0,SPEAKER_03
262.6,263.3,SPEAKER_14
276.3,277.6,SPEAKER_03
281.8,282.7,SPEAKER_03
283.0,284.4,SPEAKER_03
285.3,286.9,SPEAKER_14
287.2,287.3,SPEAKER_03
287.3,288.9,SPEAKER_14
289.5,291.7,SPEAKER_14
294.2,295.5,SPEAKER_14
297.6,299.3,SPEAKER_14
300.1,301.8,SPEAKER_14
303.5,311.4,SPEAKER_14
315.5,319.0,SPEAKER_14
319.0,330.6,SPEAKER_03
330.7,331.1,SPEAKER_03
331.1,331.3,SPEAKER_14
331.3,331.3,SPEAKER_03
331.3,331.4,SPEAKER_14
331.4,331.9,SPEAKER_03
332.8,333.5,SPEAKER_03
333.5,333.5,SPEAKER_02
335.2,344.0,SPEAKER_02
351.3,353.3,SPEAKER_03
353.5,354.7,SPEAKER_03
356.1,357.2,SPEAKER_03
360.6,366.1,SPEAKER_03
375.7,379.5,SPEAKER_03
379.9,381.3,SPEAKER_03
383.9,384.0,SPEAKER_13
384.0,384.5,SPEAKER_04
386.3,387.7,SPEAKER_03
388.9,391.6,SPEAKER_04
392.1,394.3,SPEAKER_04
394.9,396.9,SPEAKER_04
397.5,398.0,SPEAKER_13
398.8,399.0,SPEAKER_13
402.7,403.1,SPEAKER_13
403.2,403.8,SPEAKER_13
404.8,405.4,SPEAKER_13
406.1,406.2,SPEAKER_03
406.2,408.2,SPEAKER_13
408.2,408.3,SPEAKER_03
408.3,408.5,SPEAKER_13
412.8,412.8,SPEAKER_03
412.8,418.0,SPEAKER_04
418.0,418.1,SPEAKER_14
418.1,418.8,SPEAKER_04
419.0,419.0,SPEAKER_04
419.0,423.0,SPEAKER_14
423.0,423.6,SPEAKER_04
427.8,429.0,SPEAKER_04
432.5,436.7,SPEAKER_04
437.7,440.9,SPEAKER_04
441.8,444.6,SPEAKER_04
445.8,446.8,SPEAKER_04
447.4,448.4,SPEAKER_04
448.7,449.0,SPEAKER_04
449.0,449.4,SPEAKER_14
449.4,449.8,SPEAKER_04
449.4,449.7,SPEAKER_14
449.8,451.2,SPEAKER_14
451.6,452.7,SPEAKER_04
452.8,452.9,SPEAKER_04
452.9,453.9,SPEAKER_14
464.3,465.3,SPEAKER_03
465.3,465.3,SPEAKER_14
465.8,471.1,SPEAKER_04
471.1,473.8,SPEAKER_14
474.2,477.9,SPEAKER_04
478.0,478.8,SPEAKER_14
486.3,494.0,SPEAKER_03
494.0,494.0,SPEAKER_07
494.5,496.5,SPEAKER_04
496.6,498.2,SPEAKER_07
498.4,500.6,SPEAKER_07
507.7,514.6,SPEAKER_08
515.1,516.5,SPEAKER_08
519.4,527.6,SPEAKER_08
527.7,527.7,SPEAKER_08
527.7,528.5,SPEAKER_14
528.8,531.4,SPEAKER_08
531.9,534.5,SPEAKER_14
534.9,535.6,SPEAKER_08
536.1,537.4,SPEAKER_14
538.0,541.1,SPEAKER_08
541.4,545.5,SPEAKER_14
546.3,547.3,SPEAKER_08
547.3,548.6,SPEAKER_14
548.6,551.5,SPEAKER_08
552.0,552.6,SPEAKER_08
553.2,554.9,SPEAKER_08
554.9,555.0,SPEAKER_08
555.1,555.1,SPEAKER_14
555.1,555.2,SPEAKER_08
555.2,555.2,SPEAKER_14
555.2,556.0,SPEAKER_08
556.0,557.9,SPEAKER_14
557.9,557.9,SPEAKER_08
558.0,564.5,SPEAKER_08
565.0,567.1,SPEAKER_14
567.4,568.2,SPEAKER_08
569.9,572.0,SPEAKER_08
572.4,575.3,SPEAKER_14
575.4,576.8,SPEAKER_08
578.0,581.8,SPEAKER_08
584.6,585.9,SPEAKER_13
586.2,587.0,SPEAKER_13
588.3,589.4,SPEAKER_13
592.6,594.3,SPEAKER_12
594.3,594.3,SPEAKER_04
594.8,595.1,SPEAKER_12
595.1,596.2,SPEAKER_07
596.2,596.2,SPEAKER_04
596.4,597.6,SPEAKER_04
598.4,599.5,SPEAKER_04
599.8,602.4,SPEAKER_07
602.5,604.0,SPEAKER_04
604.0,605.7,SPEAKER_07
605.8,606.9,SPEAKER_04
607.3,608.0,SPEAKER_04
608.0,608.2,SPEAKER_12
608.2,608.2,SPEAKER_04
608.2,608.3,SPEAKER_12
608.3,609.0,SPEAKER_04
609.0,609.1,SPEAKER_12
610.5,615.5,SPEAKER_12
617.5,619.7,SPEAKER_03
620.2,624.8,SPEAKER_03
625.3,627.6,SPEAKER_04
637.9,639.5,SPEAKER_13
642.3,649.0,SPEAKER_06
649.0,649.0,SPEAKER_14
649.3,656.4,SPEAKER_14
